,CPU cores,CPU freq,CPU model,RAM,ROM,SIM cards,battery,brand,charging port,comments,front camera,model,month,price,rear camera,rear camera specs,resolution,screen material,screen size,weight,year
29277529943,,,其他,,,2个,3400,,Type-C,300+,,Emily-AL00B,3月,2649.00,后置双摄,,596120,TFT,5.8英寸,165g（含电池）,2018年
48922339551,,,,,,,,,,2600+,,,,6498.00,,,,,,,
49205922984,,,麒麟980,8GB,128GB,2个,3500mAh（典型值）,华为（HUAWEI）,Type-C,100+,,nova 5 Pro,以官网信息为准,2999.00,,,697416,OLED,,7.33,2019年
46560551092,,,骁龙710,,,2个,3765,OPPO,Type-C,2100+,,OPPOK3,6月,1899.00,后置双摄,,2340x1080,AMOLED,6.5英寸,191,2019年
100002493099,八核,2.84GHz,骁龙855,8GB,128GB,2个,4000mAh(typ),,Type-C,8.3万+,2000万像素,黑鲨游戏手机 2,3月,2999.00,2个,4800万+1200万像素,2340*1080,AMOLED,6.39英寸,205,2019年
51017743883,,,其他,,,2个,4000mAh（典型值）,,Type-C,100+,,nova 5i,6月,2199.00,后置四摄,,737156,LTPS,6.4英寸,178,2019年
34865935906,,,其他,,,2个,3000mAh（typ）/2900mAh（min）,小米（MI）,Micro USB,1800+,,红米6A,6月,506.80,后置单摄,,1440*720,其他,5.45英寸,145,2018年
44880206259,,,麒麟710,,,2个,3400（典型值）,华为（HUAWEI）,Micro USB,200+,,畅享 9S,3月,1299.00,后置三摄,,754689,TFT LCD（IPS）,6.21英寸,约160,2019年
6376446,八核,2.2GHz+1.8GHz,骁龙660（MSM8976Plus）,4GB,64GB,2个,3800,诺基亚（NOKIA）,Type-C,6.2万+,1600万像素,Nokia 7 Plus,2月,1499.00,2个,1300万+1200万像素,2160*1080,IPS,6.0英寸,186,2018年
47436039698,,,骁龙660（AIE）,,,2个,3260,vivo,Micro USB,800+,,Z3x,5月,1198.00,后置双摄,,2280x1080,其他,6.26英寸,150,2019年
17213821693,,,,,,2个,4000mAh(典型值）,华为（HUAWEI）,Type-C,900+,,HUAWEI P20 Pro,4月,3388.00,,,596120,其他,6.1英寸,约180g（含电池）,2018年
44102280375,,,麒麟710,4GB,128GB,2个,3400（典型值）,,Micro USB,600+,,华为畅享 9S,3月,1699.00,,,697416,TFT LCD（IPS）,6.21英寸,约160g,2019年
33955078555,八核,以官网信息为准,骁龙660（MSM8976Plus）,4GB,64GB,2个,3350mAh（typ）,小米（MI）,Type-C,2600+,2400万像素,小米8青春版,9月,1029.00,2个,1200+500万像素,2280x1080,其他,6.26英寸,约169,2018年
34364114212,八核,以官网信息为准,其他,4GB,64GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Micro USB,900+,800万像素,荣耀畅玩8C,10月,958.00,2个,1300+200万像素,1520x720,IPS,6.26英寸,167.2,2018年
47690321217,,,麒麟980,8GB,128GB,2个,3750mAh（典型值）,华为（HUAWEI）,Micro USB,200+,,荣耀20,6月,2699.80,,,754689,TFT LCD（IPS）,6.26英寸,约174g,2019年
5179862,其他,其他,其他,其他,其他,2个,1200,诺基亚（NOKIA）,Micro USB,8.4万+,无,诺基亚3310,6月,399.00,1个,200万像素,其他,其他,2.4英寸,82,2017年
27683807848,八核,以官方信息为准,其他,其他,其他,2个,3060,诺基亚（NOKIA）,Type-C,8900+,1600万像素,X6,5月,999.00,2个,1600万+500万像素,2280x1080,IPS,5.8英寸,153,2018年
100002718669,八核,2×Cortex A76 2.6GHz+ 2×Cortex A76 1.92GHz  + 4×Cortex A55 1.8GHz ,麒麟980,6GB,64GB,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,2.7万+,2400万像素,Mate 20,10月,3999.00,3个,1600万像素+1200万像素+800万像素,2244*1080,TFT,6.53英寸,约188克（含电池）,2018年
34639075891,,,其他,,,2个,4200,华为（HUAWEI）,Type-C,3600+,,mate20pro,10月,5099.00,后置四摄,,596120,其他,6.39 英寸,其他,2018年
100005989684,八核,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,麒麟980,8GB,128GB,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,5.1万+,3200万像素,HUAWEI P30 Pro,4月,5488.00,4个,4000万+2000万+800万像素,2340×1080,OLED,6.47英寸,192,2019年
43532040192,,,麒麟710,,,2个,3340mAh（典型值）,华为（HUAWEI）,Type-C,1100+,,nova 4e,3月,1965.00,后置三摄,,746545,TFT LCD（IPS）,6.15英寸,约159克（含电池）,2019年
48272986089,,,麒麟980,,,2个,4000mAh（典型值）,,Type-C,100+,,以官网信息为准,6月,3199.00,后置四摄,,2340×1080,其他,6.26英寸,约182g,2019年
45143932478,,,MT6765,3GB,64GB,2个,3020mAh（典型值）,,Micro USB,500+,,华为畅享9e,3月,999.00,,,748370,其他,6.088英寸,150,2019年
5606834,十核,2.5,其他,4GB,128GB,1个,3100,美图（Meitu）,Type-C,4.4万+,500万像素,美图M8s,以官网信息为准,899.00,1个,2100万像素,1920*1080,AMOLED,5.2英寸,168,2017年
50429004829,,,其他,,,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,100+,,nova 5i,6月,2199.00,后置四摄,,737156,其他,6.4英寸,约178,2019年
5204046,单核,260MHz,MT6261D,其他,其他,2个,800,天语（K-Touch）,Micro USB,16万+,无,T2,6月,79.00,1个,8万像素,240*320,TFT,2.4英寸,102,2018年
34616941476,,,其他,其他,其他,其他,以官网信息为准,,,700+,,iPhone XR,以官网信息为准,5499.00,,,596120,其他,,以官网信息为准,2018年
100004881818,八核,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,麒麟980,8GB,128GB,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,5.1万+,3200万像素,HUAWEI P30 Pro,4月,5688.00,4个,4000万+2000万+800万像素,2340×1080,OLED,6.47英寸,192,2019年
34608562757,,,,4GB,64GB,2个,3600,,,1300+,,魅族 Note8,10月,789.00,,,659074,其他,6.0英寸,168,2018年
39876896795,,,其他,,,2个,3750mAh（典型值）,华为（HUAWEI）,Type-C,800+,,VCE-AL00,12月,2799.00,后置三摄,,737156,LCD,6.4英寸,172,2018年
100004881816,八核,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,麒麟980,8GB,128GB,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,3.2万+,3200万像素,HUAWEI P30 Pro,4月,5488.00,4个,4000万+2000万+800万像素,2340×1080,OLED,6.47英寸,192,2019年
6737352,八核,4 ×Cortex A73 2.36 GHz + 4 × Cortex A53 1.8 GHz,Kirin 970,6GB,128GB,2个,3400mAh(典型值）,,Type-C,6.6万+,2400万像素,HUAWEI P20 ,4月,3888.00,2个,1200万像素,其他,TFT,5.8英寸,约165（含电池）,2018年
48398715229,,,骁龙710,,,2个,3765mAh（典型值）3680mAh（额定值）,,Type-C,1700+,,K3,5月,1899.00,后置双摄,,754689,AMOLED,6.5英寸,191,2019年
100005990586,八核,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,麒麟980,8GB,128GB,2个,3650mAh（典型值）备注：电池额定容量为 3550mAh,华为（HUAWEI）,Type-C,6.6万+,3200万像素,HUAWEI P30,4月,4288.00,3个,4000+1600+800万像素,2340*1080,OLED,6.1英寸,165,2019年
100003621719,八核,2.2 GHz,骁龙710,6GB,64GB,2个,5000,vivo,Micro USB,3.7万+,1600万像素,Z5x,5月,1598.00,3个,1600万+800万+200万像素,2340*1080,LCD,6.53英寸,204.1,2019年
50990659703,,,麒麟710,,,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,100+,,nova 5i,6月,1999.00,后置四摄,,737156,LTPS,6.4英寸,178,2019年
33609951757,,,其他,,,2个,以官网参数为准,魅族（MEIZU）,Micro USB,4000+,,魅族V8,9月,675.00,后置单摄,,655599,其他,5.7英寸,以官网参数为准,2018年
17882833445,,,其他,,,2个,3340mAh（典型值）,,Micro USB,8100+,,荣耀畅玩7X,10月,1128.00,后置双摄,,659074,其他,其他英寸,约165g(含电池),2017年
47229662411,,,骁龙450,,,2个,4000mAh（典型值）,华为（HUAWEI）,Micro USB,300+,,华为畅享9,12月,999.00,后置双摄,,699383,其他,6.26英寸,约168克（含电池）,2018年
43735560540,,,骁龙632,,,2个,4000mAh（typ）/3900mAh（min）,小米（MI）,Micro USB,1800+,,红米7,3月,868.00,后置双摄,,699383,其他,6.26英寸,180,2019年
17250543584,四核,-,--,3GB,32GB,2个,3020,华为（HUAWEI）,Micro USB,1万+,500万像素,畅享7,以官网信息为准,778.00,1个,1300万像素,其他,其他,5.0英寸,-,2017年
3860259,其他,其他,其他,其他,其他,2个,1530,飞利浦（Philips）,Micro USB,5.1万+,无,E311,2月,229.00,1个,30万像素,240*320,其他,2.4英寸,112.5,2017年
8184520,其他,--,--,其他,其他,2个,1050mAh,飞利浦（Philips）,Micro USB,2万+,无,E163K,7月,139.00,1个,30万像素,240*320以下,TFT,1.77英寸,83,2018年
100003621713,八核,2.2 GHz,骁龙710,6GB,128GB,2个,5000,vivo,Micro USB,1.9万+,1600万像素,Z5x,5月,1798.00,3个,1600万+800万+200万像素,2340*1080,LCD,6.53英寸,204.1,2019年
32943757462,其他,其他,--,其他,其他,其他,其他,,其他,1万+,700万像素,XS,以官网信息为准,8139.00,2个,双1200万像素,其他,其他,其他,其他,2018年
100003336101,八核,2.2GHz,骁龙710,4GB,64GB,2个,4050,联想（lenovo）,Type-C,1万+,1600万像素,Lenovo Z6 青春版,5月,1099.00,3个,1600万+800万+500万像素,2340*1080,LTPS,6.3英寸,164,2019年
100000322417,其他,无,MT6261D,其他,其他,2个,1300,飞利浦（Philips）,Micro USB,4.7万+,无,Philips E256S,9月,288.00,1个,30万像素,240*320,TFT,2.4英寸,120,2018年
49219309851,,,骁龙675,,,2个,4000mAh （典型值）,魅族（MEIZU）,Type-C,300+,,16XS,5月,1699.00,后置三摄,,790127,AMOLED,6.2英寸,约165,2019年
41256184202,,,麒麟710,6GB,128GB,2个,3750mAh（典型值） 3650mAh（额定值）,华为（HUAWEI）,Micro USB,1万+,,荣耀8X,9月,1499.00,,,697416,IPS,6.5英寸,175,2018年
100003621715,八核,2.2 GHz,骁龙710,6GB,128GB,2个,5000,vivo,Micro USB,1.2万+,1600万像素,Z5x,5月,1798.00,3个,1600万+800万+200万像素,2340*1080,LCD,6.53英寸,204.1,2019年
29356051795,八核,以官网信息为准,其他,4GB,64GB,2个,3000mAh（typ）/2900mAh（min）,小米（MI）,Micro USB,5400+,500万像素,红米 6,6月,835.00,2个,1200万+500万像素,1440*720,其他,5.45英寸,146,2018年
50895453979,,,麒麟710,,,2个,4000（参考值）,,Type-C,80+,,以官网信息为准,6月,1999.00,后置四摄,,737156,其他,6.4英寸,以官网信息为准,2019年
35589691455,八核,以官网信息为准,麒麟980,6GB,128GB,2个,5000mAh（典型值）,,Type-C,300+,2400万像素,Mate 20 X,10月,4499.00,3个,4000万+2000万+800万像素,2244*1080,OLED,7.2英寸,约232克（含电池）,2018年
48676863457,,,其他,,,2个,4035mAh（典型值）,OPPO,Type-C,700+,,Reno,5月,2299.00,后置双摄,,697416,AMOLED,6.4英寸,约186g,2019年
50384986926,,,麒麟980,,,2个,3500mAh（典型值）,,Type-C,700+,,nova 5 Pro,6月,2999.00,后置四摄,,754689,OLED,6.39英寸,约171克（含电池）,2019年
47824369628,,,骁龙710,,,2个,3765mAh（典型值）3680mAh（额定值）,OPPO,Type-C,800+,,OPPO K3,6月,1899.00,后置双摄,,754689,AMOLED,6.5英寸, 191,2019年
47385538699,八核,0,Kirin 970,6GB,64GB,2个,3400mAh(典型值）,华为（HUAWEI）,Type-C,400+,2400万像素,P20,4月,2888.00,2个,2000+1200万像素,其他,TFT,5.8英寸,约165（含电池）,2018年
27393700032,,,其他,6GB,128GB,2个,3400mAh（典型值）,,Type-C,9700+,,荣耀10,以官网信息为准,1869.00,,,683880,其他,5.84英寸,约153克（含电池）,2018年
42304136851,,,其他,其他,其他,其他,以官网信息为准,Apple,Lightning（iPhone）,1500+,,iPhoneXR,以官网信息为准,5758.00,,,726002,LCD,6.1英寸,194,2018年
46716687186,,,其他,,,2个,4000mAh（典型值）,华为（HUAWEI）,Micro USB,1200+,800万像素,华为畅享9,12月,1299.00,后置双摄,1300+200万像素,1520x720,TFT,6.26英寸,168,2018年
100001247225,八核,2.2 GHz,骁龙710,6GB,64GB,2个,3350（典型值）,联想（lenovo）,Type-C,1万+,1600万+800万像素,Lenovo Z5 Pro,11月,1298.00,2个,2400万+1600万像素,2340*1080,Super AMOLED,6.39 英寸,210,2018年
44098076278,,,其他,,,2个,3940,vivo,Micro USB,2900+,,S1,3月,1998.00,后置三摄,,2340*1080,其他,6.53英寸,189.5,2019年
100004268906,八核,2×Cortex A76 2.6GHz + 2×Cortex A76 1.92GHz + 4×Cortex A55 1.8GHz,麒麟980,8GB,256GB,2个,5000mAh（典型值）,华为（HUAWEI）,Type-C,2万+,2400万像素,Mate 20 X,10月,5999.00,3个,4000万+2000万+800万像素,2244*1080,OLED,7.2英寸,约232克（含电池）,2018年
30189924133,,,其他,,,2个,2900mAh（min）,小米（MI）,Micro USB,9700+,,红米6A,6月,578.00,后置单摄,,其他,其他,5.45英寸,145,2018年
100002624532,四核,四核1.5GHz,--,512MB,4GB,2个,1700,飞利浦（Philips）,Micro USB,2.9万+,30万像素,E289,12月,399.00,1个,200万像素,240*320,TFT,2.4英寸,158,2018年
45072589334,,,麒麟710F,6GB,64GB,2个,3400mAh（典型值）,华为（HUAWEI）,Micro USB,100+,,荣耀20i,4月,1399.00,,,697416,TFT LCD（IPS）,6.21英寸,约164克,2019年
35820954116,,,其他,,,2个,3500,OPPO,Type-C,9600+,,R17,8月,2499.00,后置双摄,,697416,AMOLED,6.4英寸,182,2018年
30204603609,八核,0,Kirin 970,6GB,128GB,2个,0,华为（HUAWEI）,Type-C,1万+,2400万像素,0,7月,2288.00,2个,2400万+1600万像素,2340*1080,TFT,6.3英寸,0,2018年
100003336093,八核,最高1.8GHz,骁龙636,6GB,64GB,2个,3300（typ）,联想（lenovo）,Type-C,17万+,800万像素,Lenovo Z5,6月,1098.00,2个,1600+800万像素,2246×1080,IPS,6.2英寸,165,2018年
42286472255,八核,以官网信息为准,骁龙660（MSM8976Plus）,4GB,128GB,2个,5000,华为（HUAWEI）,Micro USB,300+,800万像素,畅享 MAX,10月,1168.00,2个,1600+200万像素,2244*1080,TFT,其他,210,2018年
49897758329,其他,以官网信息为准,其他,6GB,128GB,2个,3750mAh（典型值）,,其他,0,1300万像素,荣耀V10,11月,1699.00,2个,1600万像素,其他,其他,5.99英寸,约172克（含电池）,2017年
100003713556,八核,"2.8GHz,2.4GHz,1.7GHz",骁龙855,8GB,128GB,2个,3400mAh（典型值）,三星（SAMSUNG）,Type-C,1.5万+,1000万像素,SM-G9730,2月,5999.00,3个,1600万+1200万+1200万像素,3040*1440,Dynamic AMOLED,6.1英寸,157,2019年
48278314597,,,其他,,,2个,3750mAh（典型值）,,Type-C,800+,,荣耀20,6月,2999.00,后置四摄,,754689,TFT LCD（IPS）,6.26英寸,约174g,2019年
8396457,其他,--,--,其他,其他,2个,1050mAh,飞利浦（Philips）,Micro USB,1万+,无,E163K,7月,139.00,1个,30万像素,240*320以下,TFT,1.77英寸,83,2018年
49639975631,,,骁龙439（SDM439）,,,2个,4000(typ)x\3900(min),,Type-C,300+,,红米7A,5月,568.00,后置单摄,,655599,其他,5.45英寸,约165,2019年
41386209571,,,骁龙450,其他,其他,2个,4000mAh（典型值）,,Micro USB,3900+,,华为畅享9,12月,1018.00,,,699383,TFT,6.26英寸,168（以实际为准）,2018年
26152373867,八核,--,其他,3GB,32GB,2个,3000mAh（典型容量）,华为（HUAWEI）,Micro USB,6600+,800万像素,荣耀畅玩7C,3月,739.00,2个,200万像素,1440*720,IPS,5.99英寸,约164g(含电池),2018年
41854959135,,,骁龙855,,,2个,3300mAh(typ) / 3200mAh (m,小米（MI）,Type-C,1700+,,小米9,2月,3388.00,后置三摄,,697416,AMOLED,6.39 英寸,173,2019年
34130047334,,,骁龙660（MSM8976Plus）,4GB,64GB,2个,3600mAh（典型值）（额定值3500mAh）,OPPO,Micro USB,9900+,,K1,10月,1199.00,,,697416,OLED,6.4英寸,156,2018年
27397838806,,,其他,,,2个,3400mAh,华为（HUAWEI）,Type-C,1700+,,荣耀10,4月,1818.80,后置双摄,,2280x1080,IPS,5.84英寸,153,2018年
100001263554,八核,2×Cortex A76 2.6GHz+ 2×Cortex A76 1.92GHz  + 4×Cortex A55 1.8GHz ,麒麟980,6GB,128GB,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,9.4万+,2400万像素,Mate 20,10月,4499.00,3个,1600万像素+1200万像素+800万像素,2244*1080,TFT,6.53英寸,约188克（含电池）,2018年
100003978326,八核,2×Cortex-A76 Based 2.6GHz+ 2×Cortex-A76 Based 1.92GHz  + 4×Cortex-A55 1.8GHz,麒麟980,6GB,128GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Type-C,11万+,2500万像素,荣耀V20,12月,3599.00,2个,4800万像素,2310*1080,IPS,6.4英寸,约180克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,2018年
100003828128,八核,2×Cortex-A76 Based 2.6GHz+ 2×Cortex-A76 Based 1.92GHz  + 4×Cortex-A55 1.8GHz,麒麟980,6GB,128GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Type-C,11万+,2500万像素,荣耀V20,12月,3199.00,2个,4800万像素,2310*1080,IPS,6.4英寸,约180克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,2018年
41635552496,八核,以官网信息为准,骁龙855,6GB,128GB,2个,3300mAh(typ) / 3200mAh ,小米（MI）,Type-C,900+,2000万像素,小米9,2月,2788.00,3个,4800万+1600万+1200万像素,2340*1080,AMOLED,6.39 英寸,173g,2019年
47784762875,,,其他,6GB,128GB,2个,3400（典型值）,,Micro USB,100+,,麦芒 8,6月,1899.00,,,697416,TFT LCD（IPS）,6.21英寸,约160g,2019年
44244982669,,,骁龙710,,,2个,3680mAh （额定值）；3765mAh（典型值,OPPO,Type-C,1300+,,OPPO Reno ,4月,2599.00,后置双摄,,697416,AMOLED,6.4英寸,约185g,2019年
28476213025,四核,4*1.5GHz,其他,2GB,16GB,2个,3020mAh,华为（HUAWEI）,Micro USB,7000+,500万像素,荣耀畅玩7,以官网信息为准,470.00,1个,1300万像素,1440*720,IPS,其他,约142g(含电池),2018年
26698069753,,,麒麟710,其他,其他,2个,3400（典型值）,华为（HUAWEI）,Micro USB,9500+,,华为畅享9s,3月,1299.00,,,754689,TFT LCD（IPS）,6.21英寸,约160g,2019年
100001214519,其他,其他,其他,其他,其他,2个,1000,飞利浦（Philips）,Micro USB,8600+,无,E108,10月,99.00,无,无,240*320以下,TFT,1.77英寸,72,2018年
47270721646,,,麒麟980,,,2个,3650mAh（典型值）,,Type-C,200+,,HUAWEI P30,4月,4288.00,后置三摄,,697416,OLED,6.1英寸,165,2019年
100005297794,八核,2.2,骁龙710,6GB,64GB,2个,4045,realme,Micro USB,3.7万+,2500万像素,realme X青春版,5月,1299.00,2个,1600万+500万像素,2340*1080,IPS,6.3英寸,172,2019年
41537643985,,,其他,3GB,32GB,2个,3020mAh（典型值）,华为（HUAWEI）,Micro USB,1200+,,畅玩8A,1月,749.00,,,596120,其他,,约150克（含电池） ,2019年
48733130720,,,麒麟980,,,2个,3750mAh（典型值）,,Type-C,1800+,,荣耀20,6月,2999.00,后置四摄,,754689,TFT LCD（IPS）,6.26英寸,约174g,2019年
33794483772,八核,以官网信息为准,骁龙845（SDM845）,其他,其他,2个,3000mAh,小米（MI）,Type-C,1000+,2000万像素,小米8探索版,7月,1898.00,2个,双1200万像素,其他,其他,6.21英寸,177g,2018年
100003828130,八核,2×Cortex-A76 Based 2.6GHz+ 2×Cortex-A76 Based 1.92GHz  + 4×Cortex-A55 1.8GHz,麒麟980,6GB,128GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Type-C,7万+,2500万像素,荣耀V20,12月,3199.00,2个,4800万像素,2310*1080,IPS,6.4英寸,约180克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,2018年
6274982,单核,260,其他,其他,其他,1个,4000,天语（K-Touch）,Micro USB,3.8万+,无,Q31C,以官网信息为准,168.00,1个,8万像素,240*320,TFT,2.4英寸,195,2018年
50624349685,,,其他,,,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,50+,,nova 5i,6月,2199.00,后置四摄,,2310*1080,LTPS,6.4英寸,178,2019年
34487179057,,,骁龙660（MSM8976Plus）,4GB,128GB,2个,5000,华为（HUAWEI）,Micro USB,1700+,,畅享 MAX,10月,1349.00,,,2240*1080,TFT,,约210,2018年
41895956644,,,骁龙712,6GB,64GB,2个,3070mAh(typ)\2970mAh  (mi,小米（MI）,Type-C,700+,,小米9SE,2月,1748.00,,,697416,,5.97英寸,约155,2019年
48923605880,,,,,,,,,,2200+,,,,5648.00,,,,,,,
5455950,八核,2.35GHz 1.9GHz,骁龙835（MSM8998）,6GB,64GB,2个,3300mAh,三星（SAMSUNG）,Type-C,3900+,800万像素,Galaxy Note8,9月,3499.00,2个,双1200万像素,其他,Super AMOLED,6.3英寸,195,2017年
7008982,八核,4 ×Cortex A73 2.36 GHz + 4 × Cortex A53 1.8 GHz,麒麟970,6GB,64GB,2个,3400,华为（HUAWEI）,Type-C,5.3万+,2400万像素,华为P20,4月,3488.00,2个,2000+1200万像素,2240*1080,TFT,5.8,约165（含电池）,2018年
100003978308,八核,2×Cortex-A76 Based 2.6GHz+ 2×Cortex-A76 Based 1.92GHz  + 4×Cortex-A55 1.8GHz,麒麟980,6GB,128GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Type-C,6万+,2500万像素,荣耀V20,12月,3599.00,2个,4800万像素,2310*1080,IPS,6.4英寸,约180克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,2018年
47786450265,,,骁龙855,,,2个,4000mAh（typ）/3900mAh（min）,小米（MI）,Type-C,200+,,K20PRO,5月,2799.00,后置三摄,,754689,其他,6.39 英寸,191,2019年
100001008467,八核,2×Cortex A76 2.6GHz+ 2×Cortex A76 1.92GHz  + 4×Cortex A55 1.8GHz ,麒麟980,6GB,64GB,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,4.9万+,2400万像素,Mate 20,10月,3999.00,3个,1600万像素+1200万像素+800万像素,2244*1080,TFT,6.53英寸,约188克（含电池）,2018年
45474024005,,,麒麟980,,,2个,4200mAh（典型值）,,Type-C,400+,,HUAWEI P30 Pro,4月,5988.00,后置三摄,,697416,OLED,6.47英寸,192,2019年
100003497790,其他,以官网信息为准,其他,其他,64GB,1个,以官网信息为准,Apple,Lightning（iPhone）,16万+,700万像素,iPhone 8,9月,3838.00,1个,1200万像素,1334*750,其他,4.7英寸,148,2017年
100001008489,八核,2×Cortex A76 2.6GHz+ 2×Cortex A76 1.92GHz  + 4×Cortex A55 1.8GHz ,麒麟980,6GB,128GB,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,4.6万+,2400万像素,Mate 20,10月,4499.00,3个,1600万像素+1200万像素+800万像素,2244*1080,TFT,6.53英寸,约188克（含电池）,2018年
